"sku","cost_price","vancouver"
3ozgwax9yn,9952,3
nglkljvvae,11028,1
nqd4k9g5me,1328,2
e2b49z5mke,6132,1
3ob55yvpyn,44075,1
qe22572xje,2507,1
3j2xj2r6xe,6583,3
349kxla9jn,10776,2
nm96ladkde,13722,2
3opd7b8q6e,25599,16
3xokbgawd3,2087,2
3pl9vrz4kn,5772,1
nqq9j5qxkn,8961,2
nb8ol2o89n,3656,6
nbaxwqlyxe,18126,6
9ekg7yk253,20441,1
ek9zpoo9gn,20338,1
3wv265zmxn,12350,1
nbmk4aog9e,821,3
34pzo668p3,6025,16
z37gzkwyj3,7413,6
3ozkjg9kyn,34848,2
ek2v5byv4e,893,2
384g4jkqdn,1622,6
nvv59aqg2n,1482,4
396bgl4zy3,40023,4
3pq58wvpbe,8378,5
ek4vlgqgg3,8297,1
xerrv8do5e,4611,4
ekz7pv4y2e,866,9
nydvprby9n,11106,1
3z7gd85z7n,24948,1
3a9kqaxvdn,25212,4
3ordm8lz63,9149,1
3l66mkqgy3,22161,1
nm94l5gdxe,13231,1
edqv69rjdn,22680,1
38kjjx57p3,1579,3
3jxvdw789n,35783,1
3alm97p2dn,7905,4
ek47ov4743,20702,2
3al85r9rmn,2947,1
ek49z9v4r3,12474,1
l34k96gzke,3246,2
e5ggzpao43,449,11
nmrx99bzje,6608,1
3azy46g6me,16500,3
3wkzmob9b3,1175,5
e2gk48gg73,6647,2
3zay7ayk8n,10139,4
nq2zyyvawn,12347,3
3olva42g93,4428,1
e2mmbx98d3,29358,1
3x6vgpqo43,12919,1
